mcourt,hcourt,court_code
北京市第一中级人民法院,北京市高级人民法院,110
北京市第二中级人民法院,北京市高级人民法院,120
北京市第四中级人民法院,北京市高级人民法院,
北京市第三中级人民法院,北京市高级人民法院,140
北京知产人民法院,北京市高级人民法院,
天津市第一中级人民法院,天津市高级人民法院,210
天津市第二中级人民法院,天津市高级人民法院,220
滨海新区人民法院,天津市高级人民法院,231
天津海事人民法院,天津市高级人民法院,
天津铁路运输人民法院,天津市高级人民法院,
天津市第三中级人民法院,天津市高级人民法院,
石家庄市中级人民法院,河北省高级人民法院,310
唐山市中级人民法院,河北省高级人民法院,320
秦皇岛市中级人民法院,河北省高级人民法院,330
邯郸市中级人民法院,河北省高级人民法院,340
邢台市中级人民法院,河北省高级人民法院,350
保定市中级人民法院,河北省高级人民法院,360
张家口市中级人民法院,河北省高级人民法院,370
承德市中级人民法院,河北省高级人民法院,380
沧州市中级人民法院,河北省高级人民法院,390
廊坊市中级人民法院,河北省高级人民法院,3A0
衡水市中级人民法院,河北省高级人民法院,3I0
石家庄铁路运输人民法院,河北省高级人民法院,
太原市中级人民法院,山西省高级人民法院,410
大同市中级人民法院,山西省高级人民法院,420
阳泉市中级人民法院,山西省高级人民法院,430
长治市中级人民法院,山西省高级人民法院,440
晋城市中级人民法院,山西省高级人民法院,450
朔州市中级人民法院,山西省高级人民法院,460
晋中市中级人民法院,山西省高级人民法院,4A0
运城市中级人民法院,山西省高级人民法院,4C0
忻州市中级人民法院,山西省高级人民法院,480
临汾市中级人民法院,山西省高级人民法院,4B0
吕梁市中级人民法院,山西省高级人民法院,490
太原铁路中级人民法院,山西省高级人民法院,
呼和浩特市中级人民法院,内蒙古自治区高级人民法院,510
包头市中级人民法院,内蒙古自治区高级人民法院,520
乌海市中级人民法院,内蒙古自治区高级人民法院,530
赤峰市中级人民法院,内蒙古自治区高级人民法院,540
通辽市中级人民法院,内蒙古自治区高级人民法院,570
鄂尔多斯市中级人民法院,内蒙古自治区高级人民法院,5A0
呼伦贝尔市中级人民法院,内蒙古自治区高级人民法院,550
巴彦淖尔市中级人民法院,内蒙古自治区高级人民法院,5B0
乌兰察布市中级人民法院,内蒙古自治区高级人民法院,590
锡林郭勒盟中级人民法院,内蒙古自治区高级人民法院,580
兴安盟中级人民法院,内蒙古自治区高级人民法院,560
阿拉善盟中级人民法院,内蒙古自治区高级人民法院,5C0
呼和浩特铁路中级人民法院,内蒙古自治区高级人民法院,
沈阳市中级人民法院,辽宁省高级人民法院,610
大连市中级人民法院,辽宁省高级人民法院,620
鞍山市中级人民法院,辽宁省高级人民法院,630
抚顺市中级人民法院,辽宁省高级人民法院,640
本溪市中级人民法院,辽宁省高级人民法院,650
丹东市中级人民法院,辽宁省高级人民法院,660
锦州市中级人民法院,辽宁省高级人民法院,670
营口市中级人民法院,辽宁省高级人民法院,680
阜新市中级人民法院,辽宁省高级人民法院,690
辽阳市中级人民法院,辽宁省高级人民法院,6A0
盘锦市中级人民法院,辽宁省高级人民法院,6B0
铁岭市中级人民法院,辽宁省高级人民法院,6C0
朝阳市中级人民法院,辽宁省高级人民法院,6D0
葫芦岛市中级人民法院,辽宁省高级人民法院,6E0
沈阳铁路中级人民法院,辽宁省高级人民法院,
辽河中级人民法院,辽宁省高级人民法院,6G0
大连海事人民法院,辽宁省高级人民法院,
长春市中级人民法院,吉林省高级人民法院,710
吉林市中级人民法院,吉林省高级人民法院,720
四平市中级人民法院,吉林省高级人民法院,730
辽源市中级人民法院,吉林省高级人民法院,740
通化市中级人民法院,吉林省高级人民法院,750
白山市中级人民法院,吉林省高级人民法院,760
松原市中级人民法院,吉林省高级人民法院,7A0
白城市中级人民法院,吉林省高级人民法院,770
延边中级人民法院,吉林省高级人民法院,780
长春林区中级人民法院,吉林省高级人民法院,7C0
延边林区中级人民法院,吉林省高级人民法院,790
长春铁路中级人民法院,吉林省高级人民法院,
