pcourt,mcourt,court_code
海淀区人民法院,北京市第一中级人民法院,114
石景山区人民法院,北京市第一中级人民法院,113
门头沟区人民法院,北京市第一中级人民法院,115
昌平区人民法院,北京市第一中级人民法院,117
延庆区人民法院,北京市第一中级人民法院,119
东城区人民法院,北京市第二中级人民法院,121
丰台区人民法院,北京市第二中级人民法院,124
西城区人民法院,北京市第二中级人民法院,12A
房山区人民法院,北京市第二中级人民法院,12B
大兴区人民法院,北京市第二中级人民法院,12C
北京互联网人民法院,北京市第四中级人民法院,
朝阳区人民法院,北京市第三中级人民法院,141
通州区人民法院,北京市第三中级人民法院,143
顺义区人民法院,北京市第三中级人民法院,142
怀柔区人民法院,北京市第三中级人民法院,145
平谷区人民法院,北京市第三中级人民法院,144
密云区人民法院,北京市第三中级人民法院,146
和平区人民法院,天津市第一中级人民法院,211
南开区人民法院,天津市第一中级人民法院,212
河北区人民法院,天津市第二中级人民法院,223
红桥区人民法院,天津市第一中级人民法院,214
西青区人民法院,天津市第一中级人民法院,215
北辰区人民法院,天津市第二中级人民法院,228
武清区人民法院,天津市第一中级人民法院,217
宝坻区人民法院,天津市第一中级人民法院,219
静海区人民法院,天津市第二中级人民法院,229
蓟州区人民法院,天津市第一中级人民法院,21A
河东区人民法院,天津市第二中级人民法院,221
河西区人民法院,天津市第二中级人民法院,222
东丽区人民法院,天津市第三中级人民法院,232
津南区人民法院,天津市第二中级人民法院,227
宁河区人民法院,天津市第三中级人民法院,233
天津市滨海新区人民法院,天津市第三中级人民法院,231
长安区人民法院,石家庄市中级人民法院,R18
桥西区人民法院,石家庄市中级人民法院,313
新华区人民法院,石家庄市中级人民法院,314
裕华区人民法院,石家庄市中级人民法院,315
井陉县人民法院,石家庄市中级人民法院,316
鹿泉区人民法院,石家庄市中级人民法院,317
正定县人民法院,石家庄市中级人民法院,318
栾城区人民法院,石家庄市中级人民法院,319
辛集市人民法院,石家庄市中级人民法院,31A
藁城区人民法院,石家庄市中级人民法院,31B
晋州市人民法院,石家庄市中级人民法院,31C
深泽县人民法院,石家庄市中级人民法院,31D
无极县人民法院,石家庄市中级人民法院,31E
赵县人民法院,石家庄市中级人民法院,31F
新乐市人民法院,石家庄市中级人民法院,31G
高邑县人民法院,石家庄市中级人民法院,31H
元氏县人民法院,石家庄市中级人民法院,31I
赞皇县人民法院,石家庄市中级人民法院,31J
平山县人民法院,石家庄市中级人民法院,31K
灵寿县人民法院,石家庄市中级人民法院,31L
行唐县人民法院,石家庄市中级人民法院,31M
井陉矿区人民法院,石家庄市中级人民法院,31N
石家庄高新技术产业开发区人民法院,石家庄市中级人民法院,31O
路南区人民法院,唐山市中级人民法院,321
路北区人民法院,唐山市中级人民法院,322
古冶区人民法院,唐山市中级人民法院,323
开平区人民法院,唐山市中级人民法院,324
丰润区人民法院,唐山市中级人民法院,326
丰南区人民法院,唐山市中级人民法院,327
滦县人民法院,唐山市中级人民法院,328
滦南县人民法院,唐山市中级人民法院,329
乐亭县人民法院,唐山市中级人民法院,32A
迁安市人民法院,唐山市中级人民法院,32B
迁西县人民法院,唐山市中级人民法院,32C
遵化市人民法院,唐山市中级人民法院,32D
玉田县人民法院,唐山市中级人民法院,32E
曹妃甸区人民法院,唐山市中级人民法院,32F
唐山高新技术产业开发区人民法院,唐山市中级人民法院,32I
海港区人民法院,秦皇岛市中级人民法院,331
山海关区人民法院,秦皇岛市中级人民法院,332
北戴河区人民法院,秦皇岛市中级人民法院,333
昌黎县人民法院,秦皇岛市中级人民法院,334
卢龙县人民法院,秦皇岛市中级人民法院,336
抚宁县人民法院,秦皇岛市中级人民法院,335
青龙县人民法院,秦皇岛市中级人民法院,337
秦皇岛经济技术开发区人民法院,秦皇岛市中级人民法院,338
北戴河新区人民法院,秦皇岛市中级人民法院,339
丛台区人民法院,邯郸市中级人民法院,342
复兴区人民法院,邯郸市中级人民法院,343
邯山区人民法院,邯郸市中级人民法院,341
峰峰矿区人民法院,邯郸市中级人民法院,344
武安市人民法院,邯郸市中级人民法院,345
邯郸县人民法院,邯郸市中级人民法院,34K
永年县人民法院,邯郸市中级人民法院,34I
曲周县人民法院,邯郸市中级人民法院,349
馆陶县人民法院,邯郸市中级人民法院,34J
魏县人民法院,邯郸市中级人民法院,348
成安县人民法院,邯郸市中级人民法院,34E
大名县人民法院,邯郸市中级人民法院,347
涉县人民法院,邯郸市中级人民法院,34H
鸡泽县人民法院,邯郸市中级人民法院,34B
邱县人民法院,邯郸市中级人民法院,34A
广平县人民法院,邯郸市中级人民法院,34D
肥乡县人民法院,邯郸市中级人民法院,34C
临漳县人民法院,邯郸市中级人民法院,34F
磁县人民法院,邯郸市中级人民法院,34G
邯郸经济技术开发区人民法院,邯郸市中级人民法院,346
邢台桥东人民法院,邢台市中级人民法院,351
邢台桥西人民法院,邢台市中级人民法院,352
南宫市人民法院,邢台市中级人民法院,354
沙河市人民法院,邢台市中级人民法院,355
邢台县人民法院,邢台市中级人民法院,353
柏乡县人民法院,邢台市中级人民法院,358
任县人民法院,邢台市中级人民法院,35A
清河县人民法院,邢台市中级人民法院,35I
宁晋县人民法院,邢台市中级人民法院,35C
威县人民法院,邢台市中级人民法院,35H
隆尧县人民法院,邢台市中级人民法院,359
临城县人民法院,邢台市中级人民法院,356
广宗县人民法院,邢台市中级人民法院,35F
临西县人民法院,邢台市中级人民法院,35J
内丘县人民法院,邢台市中级人民法院,357
平乡县人民法院,邢台市中级人民法院,35G
巨鹿县人民法院,邢台市中级人民法院,35D
新河县人民法院,邢台市中级人民法院,35E
南和县人民法院,邢台市中级人民法院,35B
邢台经济开发区人民法院,邢台市中级人民法院,35K
竞秀区人民法院,保定市中级人民法院,361
莲池区人民法院,保定市中级人民法院,36Q
北市区人民法院,保定市中级人民法院,36Q
涿州市人民法院,保定市中级人民法院,367
定州市人民法院,保定市中级人民法院,366
安国市人民法院,保定市中级人民法院,368
高碑店市人民法院,保定市中级人民法院,36L
满城区人民法院,保定市中级人民法院,364
清苑区人民法院,保定市中级人民法院,365
涞水县人民法院,保定市中级人民法院,36G
阜平县人民法院,保定市中级人民法院,36N
徐水区人民法院,保定市中级人民法院,36A
定兴县人民法院,保定市中级人民法院,36C
唐县人民法院,保定市中级人民法院,36E
高阳县人民法院,保定市中级人民法院,36H
容城县人民法院,保定市中级人民法院,3J3
涞源县人民法院,保定市中级人民法院,36B
望都县人民法院,保定市中级人民法院,36F
安新县人民法院,保定市中级人民法院,3J1
易县人民法院,保定市中级人民法院,369
曲阳县人民法院,保定市中级人民法院,36M
蠡县人民法院,保定市中级人民法院,36P
顺平县人民法院,保定市中级人民法院,36D
博野县人民法院,保定市中级人民法院,36O
雄县人民法院,保定市中级人民法院,3J2
保定高新技术产业开发区人民法院,保定市中级人民法院,36R
张家口桥西人民法院,张家口市中级人民法院,372
张家口桥东人民法院,张家口市中级人民法院,371
宣化区人民法院,张家口市中级人民法院,373
下花园区人民法院,张家口市中级人民法院,374
宣化县人民法院,张家口市中级人民法院,373
康保县人民法院,张家口市中级人民法院,378
张北县人民法院,张家口市中级人民法院,377
阳原县人民法院,张家口市中级人民法院,37C
赤城县人民法院,张家口市中级人民法院,37H
沽源县人民法院,张家口市中级人民法院,379
怀安县人民法院,张家口市中级人民法院,37D
怀来县人民法院,张家口市中级人民法院,37F
崇礼县人民法院,张家口市中级人民法院,37I
尚义县人民法院,张家口市中级人民法院,37A
蔚县人民法院,张家口市中级人民法院,37B
涿鹿县人民法院,张家口市中级人民法院,37G
万全县人民法院,张家口市中级人民法院,37E
张家口市开发区人民法院,张家口市中级人民法院,37K
双桥区人民法院,承德市中级人民法院,381
双滦区人民法院,承德市中级人民法院,382
鹰手营子矿区人民法院,承德市中级人民法院,383
承德县人民法院,承德市中级人民法院,384
兴隆县人民法院,承德市中级人民法院,385
隆化县人民法院,承德市中级人民法院,388
平泉县人民法院,承德市中级人民法院,386
滦平县人民法院,承德市中级人民法院,387
丰宁县人民法院,承德市中级人民法院,389
围场县人民法院,承德市中级人民法院,38A
宽城县人民法院,承德市中级人民法院,38B
运河区人民法院,沧州市中级人民法院,392
沧州新华人民法院,沧州市中级人民法院,391
泊头市人民法院,沧州市中级人民法院,395
任丘市人民法院,沧州市中级人民法院,396
黄骅市人民法院,沧州市中级人民法院,397
河间市人民法院,沧州市中级人民法院,398
沧县人民法院,沧州市中级人民法院,393
青县人民法院,沧州市中级人民法院,394
献县人民法院,沧州市中级人民法院,39A
东光县人民法院,沧州市中级人民法院,39C
海兴县人民法院,沧州市中级人民法院,39F
盐山县人民法院,沧州市中级人民法院,39E
肃宁县人民法院,沧州市中级人民法院,399
南皮县人民法院,沧州市中级人民法院,39D
吴桥县人民法院,沧州市中级人民法院,39B
孟村县人民法院,沧州市中级人民法院,39G
广阳区人民法院,廊坊市中级人民法院,3AB
安次区人民法院,廊坊市中级人民法院,3A1
霸州市人民法院,廊坊市中级人民法院,3A2
三河市人民法院,廊坊市中级人民法院,3A3
固安县人民法院,廊坊市中级人民法院,3A6
永清县人民法院,廊坊市中级人民法院,3A5
香河县人民法院,廊坊市中级人民法院,3A4
大城县人民法院,廊坊市中级人民法院,3A8
文安县人民法院,廊坊市中级人民法院,3A7
大厂县人民法院,廊坊市中级人民法院,3A9
廊坊开发区人民法院,廊坊市中级人民法院,3AA
桃城区人民法院,衡水市中级人民法院,3I1
冀州市人民法院,衡水市中级人民法院,3I2
深州市人民法院,衡水市中级人民法院,3I5
饶阳县人民法院,衡水市中级人民法院,3I7
枣强县人民法院,衡水市中级人民法院,3I3
故城县人民法院,衡水市中级人民法院,3I9
阜城县人民法院,衡水市中级人民法院,3IB
安平县人民法院,衡水市中级人民法院,3I8
武邑县人民法院,衡水市中级人民法院,3I4
景县人民法院,衡水市中级人民法院,3IA
武强县人民法院,衡水市中级人民法院,3I6
杏花岭区人民法院,太原市中级人民法院,413
小店区人民法院,太原市中级人民法院,411
迎泽区人民法院,太原市中级人民法院,412
尖草坪区人民法院,太原市中级人民法院,414
万柏林区人民法院,太原市中级人民法院,415
晋源区人民法院,太原市中级人民法院,41A
古交市人民法院,太原市中级人民法院,416
阳曲县人民法院,太原市中级人民法院,418
清徐县人民法院,太原市中级人民法院,417
娄烦县人民法院,太原市中级人民法院,419
平城区人民法院,大同市中级人民法院,421
云冈区人民法院,大同市中级人民法院,423
新荣区人民法院,大同市中级人民法院,424
云州区人民法院,大同市中级人民法院,42B
天镇县人民法院,大同市中级人民法院,426
灵丘县人民法院,大同市中级人民法院,428
阳高县人民法院,大同市中级人民法院,425
左云县人民法院,大同市中级人民法院,42A
广灵县人民法院,大同市中级人民法院,427
浑源县人民法院,大同市中级人民法院,429
阳泉城区人民法院,阳泉市中级人民法院,431
阳泉矿区人民法院,阳泉市中级人民法院,432
平定县人民法院,阳泉市中级人民法院,434
盂县人民法院,阳泉市中级人民法院,435
阳泉市郊区人民法院,阳泉市中级人民法院,433
潞州区人民法院,长治市中级人民法院,441
长治郊区人民法院,长治市中级人民法院,442
潞城区人民法院,长治市中级人民法院,444
上党区人民法院,长治市中级人民法院,443
长子县人民法院,长治市中级人民法院,44A
平顺县人民法院,长治市中级人民法院,447
襄垣县人民法院,长治市中级人民法院,445
沁源县人民法院,长治市中级人民法院,44D
屯留区人民法院,长治市中级人民法院,446
黎城县人民法院,长治市中级人民法院,448
武乡县人民法院,长治市中级人民法院,44B
沁县人民法院,长治市中级人民法院,44C
壶关县人民法院,长治市中级人民法院,449
晋城城区人民法院,晋城市中级人民法院,451
